"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"355",81004162,"TV Show","The Road to Calvary","","Anna Chipovskaya, Yulia Snigir, Leonid Bichevin, Pavel Trubiner","Russia","September 1, 2018",2017,"TV-14","1 Season","International TV Shows, TV Dramas","Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them."
"356",81011096,"Movie","최강전사 미니특공대 : 영웅의 탄생","Young Jun Lee","Um Sang-hyun, Yang Jeong-hwa, Jeon Tae-yeol, Shin Yong-woo, Lee So-young, So-yeon","","September 1, 2018",2018,"TV-Y7-FV","68 min","Children & Family Movies","Miniforce, a special task force of elite rangers, takes on the Lizard Army to save Earth before it’s too late, in this prequel to the TV series."
"357",80188969,"TV Show","A Boy Name Flora A","","Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang","Taiwan","September 1, 2017",2017,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on."
"358",80189155,"TV Show","A House of Blocks","","Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting","","September 1, 2017",2017,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Horror","Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost."
"360",80203742,"Movie","Alias JJ, la celebridad del mal","","","","September 1, 2017",2017,"TV-14","54 min","Documentaries, International Movies","Witnesses and public figures respond to controversial claims about Pablo Escobar made by the Medellín Cartel's sole survivor, John Jairo Velásquez."
"361",80189208,"TV Show","All About Love","","Christina Mok, River Huang, Stone Yang, April Liu, Andy Wu, Jake Hsu","Taiwan","September 1, 2017",2017,"TV-14","1 Season","International TV Shows, TV Dramas, TV Horror","Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind."
"366",80184974,"Movie","Concrete Football","Jesse Adang, Syrine Boulanouar","","Czech Republic, France","September 1, 2017",2016,"TV-MA","52 min","Documentaries, International Movies, Sports Movies","The development of professional soccer worldwide owes a great debt to the soccer – or ""football"" – that is played on the streets of France."
"368",80178543,"TV Show","FINAL FANTASY XIV Dad of Light","","Yudai Chiba, Ren Osugi, Fumika Baba, Yoshihiko Hakamada, Hatsunori Hasegawa, Mako Ishino","Japan","September 1, 2017",2017,"TV-PG","1 Season","International TV Shows, TV Dramas","A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story."
"376",80105933,"TV Show","LEGO Elves: Secrets of Elvendale","","Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr","United States","September 1, 2017",2017,"TV-Y7","1 Season","Kids' TV","Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series."
"377",80139506,"Movie","Little Evil","Eli Craig","Adam Scott, Evangeline Lilly, Bridget Everett, Owen Atlas, Chris D'Elia, Donald Faison, Clancy Brown, Tyler Labine, Kyle Bornheimer, Carla Gallo, Brad Williams, Sally Field","United States","September 1, 2017",2017,"TV-MA","95 min","Comedies, Horror Movies","In this horror-comedy, a recently married man who wants to bond with his stepson begins to fear that the boy is a demon."
"388",80162197,"Movie","Offline - Das leben ist kein bonuslevel","Florian Schnell","Moritz Jahn, Mala Emde, Ugur Ekeroglu, David Schütter, Hannes Wegener, Yung Ngo, Kida Khodr Ramadan","Germany","September 1, 2017",2016,"TV-MA","89 min","Action & Adventure, Comedies, International Movies","Competitive gamer Jan finds his life thrown for a loop when his bitter rival hacks his identity just before a high-stakes tournament."
"389",80184055,"Movie","Resurface","Josh Izenberg, Wynn Padula","","United States","September 1, 2017",2017,"TV-MA","28 min","Documentaries, Sports Movies","A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves."
"390",80160358,"Movie","Rocco","Thierry Demaizière, Alban Teurlai","Rocco Siffredi","France","September 1, 2017",2016,"TV-MA","103 min","Documentaries, International Movies","Italian porn star Rocco Siffredi is showcased in this documentary that shadows the legendary performer during his final year in front of the camera."
"393",80141891,"Movie","The Distinguished Citizen","Gastón Duprat, Mariano Cohn","Oscar Martínez, Dady Brieva, Andrea Frigerio, Nora Navas, Manuel Vicente, Belén Chavanne, Marcelo D'Andrea, Gustavo Garzón","Argentina, Spain","September 1, 2017",2016,"TV-MA","113 min","Comedies, Dramas, International Movies","Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero."
"394",80183897,"Movie","The Drowning","Bette Gordon","Josh Charles, Julia Stiles, Avan Jogia, Tracie Thoms, Leo Fitzpatrick, Mike Houston, Jasper Newell","United States, Hong Kong","September 1, 2017",2016,"TV-MA","99 min","Thrillers","Child psychologist Tom Seymour's testimony helped convict a boy of murder. Years later, their paths cross again, raising uncomfortable questions."
"395",80177834,"Movie","The Guardian Brothers","Gary Wang","Edward Norton, Dan Fogler, Mike Birbiglia, Bella Thorne, Randall Park, Mel Brooks, Nicole Kidman, Meryl Streep","China","September 1, 2017",2016,"TV-Y7-FV","86 min","Children & Family Movies, Comedies","When a Chinese family's soup shop is targeted for sabotage by a competitor, two guardians from the spirit world leave retirement to protect them."
"396",80121855,"Movie","The Last Shaman","Raz Degan","James Freeman","United Kingdom, Italy, Israel, Peru, United States","September 1, 2017",2016,"TV-MA","83 min","Documentaries, International Movies","In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual."
"397",80168028,"Movie","The Lost Brother","Israel Adrián Caetano","Leonardo Sbaraglia, Daniel Hendler, Ángela Molina, Alián Devetac, Pablo Cedrón, Alejandra Flechner","Argentina, Uruguay, Spain, France","September 1, 2017",2017,"TV-MA","113 min","Dramas, International Movies","While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path."
"399",80190990,"Movie","Todo Sobre El Asado","Mariano Cohn, Gastón Duprat","El Negro Álvarez","Argentina","September 1, 2017",2016,"TV-14","86 min","Documentaries, International Movies","This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue – which is both meal and ritual."
"400",80173269,"Movie","Who the F**k Is That Guy?","Drew Stone","Michael Alago","United States","September 1, 2017",2017,"TV-MA","78 min","Documentaries, LGBTQ Movies, Music & Musicals","Take a ride through the life of record exec Michael Alago, a gay Puerto Rican New Yorker who signed a slew of musical acts, including Metallica."
"410",80097438,"Movie","Holy Hell","Will Allen","","United States","September 1, 2016",2016,"NR","103 min","Documentaries","An ex-member charts his path from idealism to disenchantment in a California cult when alarming revelations about the group's leader come to light."
"413",80118888,"Movie","Saudi Arabia Uncovered","","","United Kingdom","September 1, 2016",2016,"TV-14","52 min","Documentaries","Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change."
"418",80103426,"Movie","We Need to Talk","David Serrano","Hugo Silva, Michelle Jenner, Ernesto Sevilla, Belén Cuesta, Óscar Ladoire, Ilay Kurelovic, Verónica Forqué, Luis Jaspe, Borja Luna, José Luis Marín","Spain","September 1, 2016",2016,"TV-MA","91 min","Comedies, International Movies, Romantic Movies","A happy woman's new love is going great, but she needs one thing: divorce papers from her depressed ex. To get them, trickery may be in order."
"421",80244311,"Movie","After","Jenny Gage","Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher","United States","October 9, 2019",2019,"PG-13","106 min","Dramas, Romantic Movies","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott."
"422",81183570,"Movie","Home Is Where the Killer Is","Kaila York","Stacy Haiduk, Kelly Kruger, Christopher Sean, Anne Leighton, Beth Littleford, John-Paul Lavoisier, Kristoff St. John, Pallavi Sastry","United States","October 9, 2019",2019,"TV-14","87 min","Dramas, Thrillers","Recovering from cancer, a young woman thinks she’s found a friend when she rents a room from a caring ex-doctor. But empathy soon becomes obsession."
"423",80216665,"TV Show","Rhythm + Flow","","Cardi B, Chance The Rapper, T.I.","United States","October 9, 2019",2019,"TV-MA","1 Season","Reality TV","In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar."
"425",80239503,"Movie","Mo Amer: The Vagabond","Stan Lathan","Mo Amer","United States","October 9, 2018",2018,"TV-MA","57 min","Stand-Up Comedy","Arab-American comedian Mo Amer recounts his life as a refugee comic, from traveling with the name Mohammed to his long path to citizenship."
"426",81016321,"Movie","Surat Dari Praha","Angga Dwimas Sasongko","Tio Pakusadewo, Julie Estelle, Widyawati, Rio Dewanto, Chicco Jerikho, Jajang C. Noer, Shafira Umm","Indonesia","October 9, 2018",2016,"TV-14","98 min","Dramas, International Movies, Romantic Movies","Hoping to fulfill her deceased mother's final wish, a young woman travels to Prague to deliver an old letter to a mysterious man."
"428",80995737,"Movie","Deon Cole: Cole Hearted","Ryan Polito","Deon Cole","United States","October 8, 2019",2019,"TV-MA","70 min","Stand-Up Comedy","Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp."""
"429",81021976,"Movie","The Spooky Tale of Captain Underpants Hack-a-ween","","Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Clancy Brown, Jorge Diaz, Peter Hastings, Evan Kishiyama, David Koechner, Erica Luttrell, Patty Mattson, Brennan Murray, Kevin Michael Richardson, Mindy Sterling, Stephen Tobolowsky, Kari Wahlgren","United States","October 8, 2019",2019,"TV-Y7","46 min","Children & Family Movies, Comedies","When Melvin tries to cancel Halloween, clever best friends Harold and George create their own spooky holiday – and it's a huge success!"
"430",81020161,"Movie","Pulang","Kabir Bhatia","Puteri Aishah, Remy Ishak, Alvin Wong","Malaysia","October 8, 2018",2018,"TV-14","119 min","Action & Adventure, Dramas, International Movies","Thom tells her grandson about his grandfather, a sailor who left 61 years ago to seek his fortune, and asks him to find out what happened to her spouse."
"432",80196216,"Movie","Chris Brown: Welcome to My Life","Andrew Sandler","Chris Brown","United States","October 7, 2017",2017,"TV-MA","80 min","Documentaries, Music & Musicals","Featuring interviews, concert footage and behind-the-scenes access, this documentary delivers fans an all-access look at the life of Chris Brown."
"433",80091741,"Movie","13TH","Ava DuVernay","","United States","October 7, 2016",2016,"TV-MA","101 min","Documentaries","In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom."
"434",80115464,"Movie","Russell Peters: Almost Famous","Dave Higby","Russell Peters","United States","October 7, 2016",2016,"TV-MA","73 min","Stand-Up Comedy","The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human."
"435",80113144,"TV Show","StoryBots Super Songs","","Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis","United States","October 7, 2016",2016,"TV-Y","1 Season","Kids' TV","Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more."
"436",80041653,"Movie","The Siege of Jadotville","Richie Smyth","Jamie Dornan, Guillaume Canet, Emmanuelle Seigner, Jason O'Mara, Mikael Persbrandt, Mark Strong, Michael McElhatton, Danny Sapani, Sam Keeley, Ronan Raftery, Mike Noble, Charlie Kelly, Conor MacNeill, Fionn O'Shea, Conor Quinlan, Jordan Mifsud","Ireland, South Africa","October 7, 2016",2016,"TV-MA","108 min","Action & Adventure, Dramas, International Movies","Besieged by overwhelming enemy forces, Irish soldiers on a U.N. peacekeeping mission in Africa valiantly defend their outpost in this true story."
"437",81016338,"Movie","Love for Sale","Andibachtiar Yusuf","Gading Marten, Della Dartyan, Rukman Rosadi, Albert Halim, Verdi Solaiman, Adriano Qalbi, Sabrina Rochelle Kalangie, Rizky Mocil","Indonesia","October 6, 2019",2018,"TV-14","101 min","Dramas, International Movies, Romantic Movies","Richard accepts a bet that he can't find a companion to a friend's wedding, not knowing the dating app he's using includes a 45-day contract."
"439",81017724,"Movie","Seven in Heaven","Chris Eigeman","Travis Tope, Haley Ramm, Jacinda Barrett, Gary Cole, Dylan Everett, Clark Backo, Vinson Tran, Paulino Nunes, Jeff Clarke","United States","October 6, 2018",2018,"PG-13","94 min","Horror Movies","Two teenagers step into a secret closet and emerge in a terrifying alternate reality. They must find their way back before the door shuts forever."
